Индекс,Исходное,Норм. вручную,Норм. sklearn,Разница,Масшт. вручную,Масшт. sklearn,Разница
0,3962.000000,0.244568,0.244568,0.000000,4.411628,4.411628,0.000000
1,774.000000,0.047778,0.047778,0.000000,0.351735,0.351735,0.000000
2,1734.000000,0.107037,0.107037,0.000000,1.574288,1.574288,0.000000
3,1016.000000,0.062716,0.062716,0.000000,0.659920,0.659920,0.000000
4,2463.000000,0.152037,0.152037,0.000000,2.502663,2.502663,0.000000
5,436.000000,0.026914,0.026914,0.000000,-0.078705,-0.078705,0.000000
6,214.000000,0.013210,0.013210,0.000000,-0.361420,-0.361420,0.000000
7,402.000000,0.024815,0.024815,0.000000,-0.122004,-0.122004,0.000000
8,363.000000,0.022407,0.022407,0.000000,-0.171670,-0.171670,0.000000
9,490.000000,0.030247,0.030247,0.000000,-0.009936,-0.009936,0.000000
10,232.000000,0.014321,0.014321,0.000000,-0.338497,-0.338497,0.000000
11,686.000000,0.042346,0.042346,0.000000,0.239668,0.239668,0.000000
12,569.000000,0.035123,0.035123,0.000000,0.090670,0.090670,0.000000
13,2389.000000,0.147469,0.147469,0.000000,2.408425,2.408425,0.000000
14,2899.000000,0.178951,0.178951,0.000000,3.057906,3.057906,0.000000
15,381.000000,0.023519,0.023519,0.000000,-0.148747,-0.148747,0.000000
16,661.000000,0.040802,0.040802,0.000000,0.207831,0.207831,0.000000
17,2672.000000,0.164938,0.164938,0.000000,2.768823,2.768823,0.000000
18,457.000000,0.028210,0.028210,0.000000,-0.051962,-0.051962,0.000000
19,278.000000,0.017160,0.017160,0.000000,-0.279917,-0.279917,0.000000
20,747.000000,0.046111,0.046111,0.000000,0.317351,0.317351,0.000000
21,725.000000,0.044753,0.044753,0.000000,0.289334,0.289334,0.000000
22,16200.000000,1.000000,1.000000,0.000000,19.996624,19.996624,0.000000
23,804.000000,0.049630,0.049630,0.000000,0.389940,0.389940,0.000000
24,944.000000,0.058272,0.058272,0.000000,0.568229,0.568229,0.000000
25,587.000000,0.036235,0.036235,0.000000,0.113592,0.113592,0.000000
26,1593.000000,0.098333,0.098333,0.000000,1.394725,1.394725,0.000000
27,856.000000,0.052840,0.052840,0.000000,0.456162,0.456162,0.000000
28,1017.000000,0.062778,0.062778,0.000000,0.661194,0.661194,0.000000
29,303.000000,0.018704,0.018704,0.000000,-0.248079,-0.248079,0.000000
